train_auc,val_auc,train_loss,val_loss
0.8351297378540039,0.8262227177619934,0.5258038640022278,1.149335265159607
0.9603544473648071,0.5062434673309326,0.2636491656303406,0.9094986319541931
0.9830677509307861,0.35483869910240173,0.17975039780139923,0.989886999130249
0.9783267974853516,0.28095734119415283,0.16700519621372223,0.8431479334831238
0.9843493700027466,0.37356919050216675,0.1453111171722412,1.2677791118621826
0.9937951564788818,0.22892820835113525,0.0987456813454628,1.0490374565124512
0.982775092124939,0.19667014479637146,0.12267418205738068,1.048283576965332
0.9935562610626221,0.3621227741241455,0.09886280447244644,1.5569028854370117
0.9974958896636963,0.2788761854171753,0.05473055690526962,1.2379658222198486
0.9960142374038696,0.24869927763938904,0.047487810254096985,0.9345706701278687
0.9811210036277771,0.13215401768684387,0.14531826972961426,0.9366362690925598
0.9977977275848389,0.2778356075286865,0.06914865970611572,1.267003059387207
0.9985232949256897,0.3590010404586792,0.056296251714229584,1.4607527256011963
0.9932019710540771,0.3402705788612366,0.07158031314611435,0.717742383480072
0.9952873587608337,0.3496357798576355,0.05833126977086067,0.8166288733482361
0.9945399761199951,0.31945890188217163,0.071140818297863,1.0575268268585205
0.9957701563835144,0.23829346895217896,0.05472320318222046,0.9508888721466064
0.9921349287033081,0.2591050863265991,0.06636638194322586,1.2028371095657349
0.9984719157218933,0.30280956625938416,0.05362251400947571,1.0200769901275635
0.9964314103126526,0.2924037575721741,0.03308309614658356,0.9264704585075378
0.9959731101989746,0.41831424832344055,0.04672165960073471,1.1933729648590088
0.9813624024391174,0.3896982669830322,0.12633441388607025,1.0374548435211182
0.9871833324432373,0.8324661254882812,0.10839758068323135,0.5612598657608032
0.9986632466316223,0.6670135259628296,0.05270868167281151,0.991868257522583
0.9974550008773804,0.9323621392250061,0.04578873887658119,0.3267554044723511
0.9994118809700012,0.9136316776275635,0.034263040870428085,0.3630923628807068
0.9994504451751709,0.9001040458679199,0.03082498162984848,0.3745328187942505
0.9981456398963928,0.8283039331436157,0.025187283754348755,0.612881600856781
0.9975550174713135,0.9323621392250061,0.043173711746931076,0.44505345821380615
0.9997585415840149,0.9386056065559387,0.02374020777642727,0.3173283636569977
