train_auc,val_auc,train_loss,val_loss
0.7369213104248047,0.6951092481613159,0.6329513788223267,0.5884019136428833
0.7942142486572266,0.7679500579833984,0.5649922490119934,0.5690962076187134
0.8402701020240784,0.7908428907394409,0.5143697261810303,0.5825162529945374
0.8664414882659912,0.8262226581573486,0.47174569964408875,0.5463274717330933
0.898230791091919,0.8595213294029236,0.4150712490081787,0.5179814100265503
0.9241785407066345,0.8803330063819885,0.36905404925346375,0.4430156946182251
0.9424991011619568,0.8959417343139648,0.31378257274627686,0.4370226562023163
0.9514620900154114,0.8803330063819885,0.2860218286514282,0.41932961344718933
0.9664117097854614,0.9250780344009399,0.2380119264125824,0.3322864770889282
0.9722247123718262,0.9531737565994263,0.2091546207666397,0.2789548933506012
0.9750293493270874,0.967741847038269,0.19885152578353882,0.21999379992485046
0.9762516617774963,0.9583766460418701,0.19013676047325134,0.2927760183811188
0.9833117723464966,0.9687825441360474,0.16239218413829803,0.2246134877204895
0.9837150573730469,0.9521331787109375,0.15358826518058777,0.25261610746383667
0.9905978441238403,0.9490114450454712,0.11926649510860443,0.2591039538383484
0.9962426424026489,0.9729447960853577,0.07832381129264832,0.20916976034641266
0.9878857731819153,0.973465085029602,0.1243441179394722,0.21463659405708313
0.9882723093032837,0.9895941615104675,0.1025352030992508,0.13758999109268188
0.992331326007843,0.9719042181968689,0.1072492003440857,0.23600074648857117
0.9937875866889954,0.9729448556900024,0.08579988032579422,0.21725694835186005
0.9978376030921936,0.9906346797943115,0.06764760613441467,0.1271236091852188
0.9985798001289368,0.9916753172874451,0.055537253618240356,0.10416895896196365
0.9941264390945435,0.9854318499565125,0.08195067942142487,0.1743285357952118
0.9946555495262146,0.9916753172874451,0.07336577028036118,0.1421043574810028
0.9937156438827515,0.9760665893554688,0.0825120210647583,0.2256872057914734
0.997336745262146,0.9916752576828003,0.0525226965546608,0.11602609604597092
0.9936540126800537,0.9812694787979126,0.07324919104576111,0.14709711074829102
0.9970503449440002,0.9833506345748901,0.055424679070711136,0.128814697265625
0.9988057613372803,0.9937564730644226,0.04967157170176506,0.09712325036525726
0.9907030463218689,0.9906347393989563,0.06582989543676376,0.1340579390525818
